zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
48001,42.63776,-82.5796,Algonac,MI,Michigan,True,,11903.0,241.5,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,False,False,America/Detroit
48002,42.93908,-82.926,Allenton,MI,Michigan,True,,3224.0,33.5,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,False,False,America/Detroit
48003,42.93259,-83.04065,Almont,MI,Michigan,True,,6047.0,70.8,26087,Lapeer,"{""26087"": ""100""}",Lapeer,26087,False,False,America/Detroit
48005,42.85024,-82.9231,Armada,MI,Michigan,True,,5509.0,58.3,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,False,False,America/Detroit
48006,43.07539,-82.69647,Avoca,MI,Michigan,True,,4058.0,21.9,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,False,False,America/Detroit
48009,42.54421,-83.21766,Birmingham,MI,Michigan,True,,21201.0,1623.0,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,False,False,America/Detroit
48014,43.02537,-82.93086,Capac,MI,Michigan,True,,4136.0,43.6,26147,St. Clair,"{""26147"": ""98.83"", ""26087"": ""1.17""}",St. Clair|Lapeer,26147|26087,False,False,America/Detroit
48015,42.48042,-83.0272,Center Line,MI,Michigan,True,,8260.0,1862.7,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,False,False,America/Detroit
48017,42.53669,-83.15038,Clawson,MI,Michigan,True,,11910.0,2094.8,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,False,False,America/Detroit
48021,42.46561,-82.94606,Eastpointe,MI,Michigan,True,,32336.0,2434.1,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,False,False,America/Detroit
48022,43.02828,-82.81122,Emmett,MI,Michigan,True,,2605.0,28.5,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,False,False,America/Detroit
48023,42.70096,-82.65923,Fair Haven,MI,Michigan,True,,5094.0,115.5,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,False,False,America/Detroit
48025,42.52032,-83.26737,Franklin,MI,Michigan,True,,14820.0,711.7,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,False,False,America/Detroit
48026,42.5388,-82.94964,Fraser,MI,Michigan,True,,14580.0,1359.4,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,False,False,America/Detroit
48027,42.94467,-82.68212,Goodells,MI,Michigan,True,,3194.0,33.0,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,False,False,America/Detroit
48028,42.5891,-82.61944,Harsens Island,MI,Michigan,True,,999.0,21.6,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,False,False,America/Detroit
48030,42.46192,-83.09766,Hazel Park,MI,Michigan,True,,16525.0,2265.2,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,False,False,America/Detroit
48032,43.13334,-82.59489,Jeddo,MI,Michigan,True,,1875.0,19.4,26147,St. Clair,"{""26147"": ""81.44"", ""26151"": ""18.56""}",St. Clair|Sanilac,26147|26151,False,False,America/Detroit
48033,42.46456,-83.28869,Southfield,MI,Michigan,True,,16757.0,721.8,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,False,False,America/Detroit
48034,42.49693,-83.29111,Southfield,MI,Michigan,True,,13846.0,1240.1,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,False,False,America/Detroit
48035,42.55613,-82.90942,Clinton Township,MI,Michigan,True,,35599.0,1563.4,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,False,False,America/Detroit
48036,42.59213,-82.89995,Clinton Township,MI,Michigan,True,,21353.0,990.4,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,False,False,America/Detroit
48038,42.60546,-82.94158,Clinton Township,MI,Michigan,True,,43478.0,1539.3,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,False,False,America/Detroit
48039,42.69665,-82.55054,Marine City,MI,Michigan,True,,7573.0,127.1,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,False,False,America/Detroit
48040,42.90986,-82.48023,Marysville,MI,Michigan,True,,9693.0,541.6,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,False,False,America/Detroit
48041,42.93873,-82.80268,Memphis,MI,Michigan,True,,4536.0,43.8,26147,St. Clair,"{""26147"": ""81.41"", ""26099"": ""18.59""}",St. Clair|Macomb,26147|26099,False,False,America/Detroit
48042,42.68677,-82.90861,Macomb,MI,Michigan,True,,31485.0,534.4,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,False,False,America/Detroit
48043,42.59781,-82.88221,Mount Clemens,MI,Michigan,True,,16332.0,1535.6,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,False,False,America/Detroit
48044,42.64991,-82.92956,Macomb,MI,Michigan,True,,57745.0,1651.1,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,False,False,America/Detroit
48045,42.59168,-82.83023,Harrison Township,MI,Michigan,True,,24995.0,670.4,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,False,False,America/Detroit
48047,42.6777,-82.77761,New Baltimore,MI,Michigan,True,,40535.0,867.9,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,False,False,America/Detroit
48048,42.74246,-82.79774,New Haven,MI,Michigan,True,,7973.0,161.9,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,False,False,America/Detroit
48049,43.03594,-82.57496,North Street,MI,Michigan,True,,5451.0,58.8,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,False,False,America/Detroit
48050,42.78482,-82.80142,New Haven,MI,Michigan,True,,1416.0,29.5,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,False,False,America/Detroit
48051,42.69378,-82.82068,New Baltimore,MI,Michigan,True,,18878.0,485.1,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,False,False,America/Detroit
48054,42.77074,-82.54496,East China,MI,Michigan,True,,7170.0,68.2,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,False,False,America/Detroit
48059,43.08281,-82.49942,Fort Gratiot,MI,Michigan,True,,14932.0,182.5,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,False,False,America/Detroit
48060,42.97864,-82.46271,Port Huron,MI,Michigan,True,,39405.0,729.6,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,False,False,America/Detroit
48062,42.849,-82.79989,Richmond,MI,Michigan,True,,9604.0,93.9,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,False,False,America/Detroit
48063,42.85587,-82.67679,Columbus,MI,Michigan,True,,4013.0,42.2,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,False,False,America/Detroit
48064,42.76719,-82.67231,Casco,MI,Michigan,True,,4036.0,42.1,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,False,False,America/Detroit
48065,42.84552,-83.0407,Romeo,MI,Michigan,True,,11042.0,114.1,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,False,False,America/Detroit
48066,42.50734,-82.93697,Roseville,MI,Michigan,True,,47507.0,1860.7,26099,Macomb,"{""26099"": ""100""}",Macomb,26099,False,False,America/Detroit
48067,42.49046,-83.13795,Royal Oak,MI,Michigan,True,,24556.0,2065.5,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,False,False,America/Detroit
48069,42.4714,-83.14426,Pleasant Ridge,MI,Michigan,True,,2431.0,1757.9,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,False,False,America/Detroit
48070,42.48163,-83.16844,Huntington Woods,MI,Michigan,True,,6322.0,1640.7,26125,Oakland,"{""26125"": ""100""}",Oakland,26125,False,False,America/Detroit
