,GeoFips,county,state,population,per_capita_income
0,01001,Autauga,AL,56145,46814
1,01003,Baldwin,AL,229287,50953
2,01005,Barbour,AL,24589,37850
3,01007,Bibb,AL,22136,34300
4,01009,Blount,AL,57879,38808
5,01011,Bullock,AL,9976,31944
6,01013,Butler,AL,19504,39988
7,01015,Calhoun,AL,113469,40195
8,01017,Chambers,AL,32865,38508
9,01019,Cherokee,AL,26294,37869
10,01021,Chilton,AL,44397,38778
11,01023,Choctaw,AL,12418,42231
12,01025,Clarke,AL,23291,40822
13,01027,Clay,AL,13112,37179
14,01029,Cleburne,AL,14967,37734
15,01031,Coffee,AL,53230,45262
16,01033,Colbert,AL,55411,41941
17,01035,Conecuh,AL,11851,36908
18,01037,Coosa,AL,10650,34683
19,01039,Covington,AL,36930,37930
20,01041,Crenshaw,AL,13681,38161
21,01043,Cullman,AL,84515,42659
22,01045,Dale,AL,48959,40111
23,01047,Dallas,AL,36098,41195
24,01049,DeKalb,AL,71658,35100
25,01051,Elmore,AL,82158,47270
26,01053,Escambia,AL,36281,37137
27,01055,Etowah,AL,102371,39852
28,01057,Fayette,AL,16241,38001
29,01059,Franklin,AL,31507,37362
30,01061,Geneva,AL,26411,38358
31,01063,Greene,AL,7990,35992
32,01065,Hale,AL,14670,41190
33,01067,Henry,AL,17223,45409
34,01069,Houston,AL,106580,47072
35,01071,Jackson,AL,51582,40089
36,01073,Jefferson,AL,655342,58424
37,01075,Lamar,AL,13764,37161
38,01077,Lauderdale,AL,93368,40729
39,01079,Lawrence,AL,32857,38098
40,01081,Lee,AL,166831,42468
41,01083,Limestone,AL,102228,47695
42,01085,Lowndes,AL,9641,44921
43,01087,Macon,AL,17895,37834
44,01089,Madison,AL,379453,57128
45,01091,Marengo,AL,18733,43854
46,01093,Marion,AL,29703,36330
47,01095,Marshall,AL,96990,40045
48,01097,Mobile,AL,412716,42823
49,01099,Monroe,AL,20459,38192
50,01101,Montgomery,AL,224639,47776
51,01103,Morgan,AL,119883,44679
52,01105,Perry,AL,8687,36217
53,01107,Pickens,AL,19793,36861
54,01109,Pike,AL,32966,40342
55,01111,Randolph,AL,22920,35208
56,01113,Russell,AL,58237,36526
57,01115,St. Clair,AL,90739,43279
58,01117,Shelby,AL,221428,59588
59,01119,Sumter,AL,12225,35310
60,01121,Talladega,AL,79985,38300
61,01123,Tallapoosa,AL,40133,45058
62,01125,Tuscaloosa,AL,210758,42868
63,01127,Walker,AL,63143,44095
64,01129,Washington,AL,15976,40371
65,01131,Wilcox,AL,10206,38273
66,01133,Winston,AL,23508,38382
67,02010,Aleutian Islands Census Area,AK,(NA),(NA)
68,02013,Aleutians East Borough,AK,3401,59574
69,02016,Aleutians West Census Area,AK,5680,59674
70,02020,Anchorage Municipality,AK,287095,70477
71,02050,Bethel Census Area,AK,18437,47936
72,02060,Bristol Bay Borough,AK,788,152678
73,02063,Chugach Census Area,AK,6427,69369
74,02066,Copper River Census Area,AK,2919,49783
75,02068,Denali Borough,AK,2081,72967
76,02070,Dillingham Census Area,AK,4833,60792
77,02090,Fairbanks North Star Borough,AK,95651,62254
78,02100,Haines Borough,AK,2614,64956
79,02105,Hoonah-Angoon Census Area,AK,2141,64708
80,02110,Juneau City and Borough,AK,31849,74162
81,02122,Kenai Peninsula Borough,AK,59414,56139
82,02130,Ketchikan Gateway Borough,AK,13747,70574
83,02150,Kodiak Island Borough,AK,12992,66988
84,02158,Kusilvak Census Area,AK,8328,33968
85,02164,Lake and Peninsula Borough,AK,1493,63397
86,02170,Matanuska-Susitna Borough,AK,110213,50386
87,02180,Nome Census Area,AK,9909,55950
88,02185,North Slope Borough,AK,9294,90809
89,02188,Northwest Arctic Borough,AK,7644,52440
90,02195,Petersburg Borough,AK,3296,72412
91,02198,Prince of Wales-Hyder Census Area,AK,6147,48970
92,02201,Prince of Wales-Outer Ketchikan Census Area,AK,(NA),(NA)
93,02220,Sitka City and Borough,AK,8405,70996
94,02230,Skagway Municipality,AK,1179,66548
95,02231,Skagway-Yakutat-Angoon Census Area,AK,(NA),(NA)
96,02232,Skagway-Hoonah-Angoon Census Area,AK,(NA),(NA)
97,02240,Southeast Fairbanks Census Area,AK,6957,54808
98,02261,Valdez-Cordova Census Area,AK,(NA),(NA)
99,02275,Wrangell City and Borough,AK,2510,48549
100,02280,Wrangell-Petersburg Census Area,AK,(NA),(NA)
101,02282,Yakutat City and Borough,AK,637,66119
102,02290,Yukon-Koyukuk Census Area,AK,5077,63675
103,02901,Aleutian Islands Division,AK,(NA),(NA)
104,02903,Angoon Division,AK,(NA),(NA)
105,02904,Barrow-North Slope Division,AK,(NA),(NA)
106,02905,Bethel Division,AK,(NA),(NA)
107,02907,Bristol Bay Division,AK,(NA),(NA)
108,02908,Cordova-McCarthy Division,AK,(NA),(NA)
109,02910,Haines Division,AK,(NA),(NA)
110,02912,Kenai-Cook Inlet Division,AK,(NA),(NA)
111,02916,Kuskokwim Division,AK,(NA),(NA)
112,02919,Outer Ketchikan Division,AK,(NA),(NA)
113,02920,Prince of Wales Division,AK,(NA),(NA)
114,02921,Seward Division,AK,(NA),(NA)
115,02922,Sitka Division,AK,(NA),(NA)
116,02923,Skagway-Yakutat Division,AK,(NA),(NA)
117,02924,Southeast Fairbanks Division,AK,(NA),(NA)
118,02925,Upper Yukon Division,AK,(NA),(NA)
119,02926,Valdez-Chitina-Whittier Division,AK,(NA),(NA)
120,02928,Wrangell-Petersburg Division,AK,(NA),(NA)
121,02929,Yukon-Koyukuk Division,AK,(NA),(NA)
122,04001,Apache,AZ,71875,38915
123,04003,Cochise,AZ,127450,45786
124,04005,Coconino,AZ,142481,53036
125,04007,Gila,AZ,54303,44201
126,04009,Graham,AZ,39211,35072
127,04011,Greenlee,AZ,9341,44050
128,04012,La Paz,AZ,21480,39482
129,04013,Maricopa,AZ,4579081,53521
130,04015,Mohave,AZ,217206,36529
131,04017,Navajo,AZ,112112,36169
132,04019,Pima,AZ,1061175,48373
133,04021,Pinal,AZ,480828,35949
134,04023,Santa Cruz,AZ,46808,42204
135,04025,Yavapai,AZ,240226,44490
136,04027,Yuma,AZ,217824,40800
137,05001,Arkansas,AR,17383,50534
138,05003,Ashley,AR,19339,38489
139,05005,Baxter,AR,42242,39950
140,05007,Benton,AR,288774,94289
141,05009,Boone,AR,37625,38108
142,05011,Bradley,AR,10639,42037
143,05013,Calhoun,AR,5113,38509
144,05015,Carroll,AR,28276,34692
145,05017,Chicot,AR,9924,44762
146,05019,Clark,AR,22103,39450
147,05021,Clay,AR,14375,39157
148,05023,Cleburne,AR,24935,41656
149,05025,Cleveland,AR,7957,40366
150,05027,Columbia,AR,23331,38806
151,05029,Conway,AR,21037,40633
152,05031,Craighead,AR,112245,40728
153,05033,Crawford,AR,63409,35919
154,05035,Crittenden,AR,47616,41474
155,05037,Cross,AR,16142,41715
156,05039,Dallas,AR,6802,40611
157,05041,Desha,AR,11110,44920
158,05043,Drew,AR,17977,40726
159,05045,Faulkner,AR,126919,41943
160,05047,Franklin,AR,17897,33885
161,05049,Fulton,AR,12381,31840
162,05051,Garland,AR,99789,44358
163,05053,Grant,AR,18449,41674
164,05055,Greene,AR,45597,38560
165,05057,Hempstead,AR,21253,33760
166,05059,Hot Spring,AR,33787,34110
167,05061,Howard,AR,13109,34751
168,05063,Independence,AR,37757,38266
169,05065,Izard,AR,13613,32606
170,05067,Jackson,AR,16636,41646
171,05069,Jefferson,AR,65377,39443
172,05071,Johnson,AR,26513,30728
173,05073,Lafayette,AR,6596,38307
174,05075,Lawrence,AR,16410,38065
175,05077,Lee,AR,8513,32359
176,05079,Lincoln,AR,12944,29008
177,05081,Little River,AR,12180,37075
178,05083,Logan,AR,21410,34433
179,05085,Lonoke,AR,73921,43537
180,05087,Madison,AR,16644,34012
181,05089,Marion,AR,16790,33493
182,05091,Miller,AR,43177,37065
183,05093,Mississippi,AR,40066,37730
184,05095,Monroe,AR,6584,40475
185,05097,Montgomery,AR,9006,32125
186,05099,Nevada,AR,8099,35808
187,05101,Newton,AR,7602,32731
188,05103,Ouachita,AR,23167,41877
189,05105,Perry,AR,10327,38404
190,05107,Phillips,AR,17299,38155
191,05109,Pike,AR,10643,33920
192,05111,Poinsett,AR,23283,37307
193,05113,Polk,AR,19707,32573
194,05115,Pope,AR,64334,36617
195,05117,Prairie,AR,7966,42843
196,05119,Pulaski,AR,392980,55563
197,05121,Randolph,AR,18247,36401
198,05123,St. Francis,AR,24682,30903
199,05125,Saline,AR,123968,45692
200,05127,Scott,AR,10164,32290
201,05129,Searcy,AR,7842,31657
202,05131,Sebastian,AR,127590,45586
203,05133,Sevier,AR,16702,32926
204,05135,Sharp,AR,17424,35612
205,05137,Stone,AR,12674,32753
206,05139,Union,AR,38219,48669
207,05141,Van Buren,AR,16541,34482
208,05143,Washington,AR,243216,43817
209,05145,White,AR,78729,39598
210,05147,Woodruff,AR,6264,45248
211,05149,Yell,AR,21181,33506
212,06001,Alameda,CA,1662323,87078
213,06003,Alpine,CA,1119,76175
214,06005,Amador,CA,40083,47721
215,06007,Butte,CA,212744,50279
216,06009,Calaveras,CA,46308,53026
217,06011,Colusa,CA,21558,57382
218,06013,Contra Costa,CA,1152333,92264
219,06015,Del Norte,CA,27968,40192
220,06017,El Dorado,CA,192925,72662
221,06019,Fresno,CA,1000918,48495
222,06021,Glenn,CA,28283,52219
223,06023,Humboldt,CA,134977,50182
224,06025,Imperial,CA,180267,44500
225,06027,Inyo,CA,18046,64335
226,06029,Kern,CA,901362,44721
227,06031,Kings,CA,152692,41829
228,06033,Lake,CA,64479,47144
229,06035,Lassen,CA,30016,40490
230,06037,Los Angeles,CA,9943046,68272
231,06039,Madera,CA,157761,44532
232,06041,Marin,CA,257332,145575
233,06043,Mariposa,CA,17160,57828
234,06045,Mendocino,CA,86061,54795
235,06047,Merced,CA,279252,43914
236,06049,Modoc,CA,8763,52779
237,06051,Mono,CA,14534,54586
238,06053,Monterey,CA,430906,61510
239,06055,Napa,CA,135965,82408
240,06057,Nevada,CA,99606,64876
241,06059,Orange,CA,3166857,74618
242,06061,Placer,CA,402950,72279
243,06063,Plumas,CA,18967,55029
244,06065,Riverside,CA,2489188,45834
245,06067,Sacramento,CA,1559146,58307
246,06069,San Benito,CA,64055,60807
247,06071,San Bernardino,CA,2189183,44831
248,06073,San Diego,CA,3332427,66266
249,06075,San Francisco,CA,866606,144818
250,06077,San Joaquin,CA,767967,51816
251,06079,San Luis Obispo,CA,282249,62342
252,06081,San Mateo,CA,758308,141841
253,06083,Santa Barbara,CA,444766,67879
254,06085,Santa Clara,CA,1907105,123661
255,06087,Santa Cruz,CA,269925,75957
256,06089,Shasta,CA,179027,51649
257,06091,Sierra,CA,2920,49139
258,06093,Siskiyou,CA,43245,49664
259,06095,Solano,CA,446935,58688
260,06097,Sonoma,CA,489819,71386
261,06099,Stanislaus,CA,550081,48954
262,06101,Sutter,CA,96385,50730
263,06103,Tehama,CA,64494,46007
264,06105,Trinity,CA,12216,43877
265,06107,Tulare,CA,468680,46348
266,06109,Tuolumne,CA,54515,49708
267,06111,Ventura,CA,841387,67422
268,06113,Yolo,CA,219728,58391
269,06115,Yuba,CA,80160,46373
270,08001,Adams,CO,519883,48115
271,08003,Alamosa,CO,16180,42974
272,08005,Arapahoe,CO,657452,66691
273,08007,Archuleta,CO,14196,46287
274,08009,Baca,CO,3555,53223
275,08011,Bent,CO,5356,33591
276,08013,Boulder,CO,327171,79649
277,08014,Broomfield,CO,72236,67495
278,08015,Chaffee,CO,20661,51361
279,08017,Cheyenne,CO,1795,61731
280,08019,Clear Creek,CO,9586,67132
281,08021,Conejos,CO,8143,39847
282,08023,Costilla,CO,3921,38430
283,08025,Crowley,CO,5696,23751
284,08027,Custer,CO,5183,45691
285,08029,Delta,CO,31067,42127
286,08031,Denver,CO,735538,85411
287,08033,Dolores,CO,2096,42093
288,08035,Douglas,CO,360750,78980
289,08037,Eagle,CO,54929,87872
290,08039,Elbert,CO,27313,63970
291,08041,El Paso,CO,728310,54151
292,08043,Fremont,CO,47867,38952
293,08045,Garfield,CO,60366,62581
294,08047,Gilpin,CO,6235,55256
295,08049,Grand,CO,15794,57476
296,08051,Gunnison,CO,17593,51025
297,08053,Hinsdale,CO,808,49423
298,08055,Huerfano,CO,6883,46859
299,08057,Jackson,CO,1389,62008
300,08059,Jefferson,CO,583283,68829
301,08061,Kiowa,CO,1458,66839
302,08063,Kit Carson,CO,7121,47198
303,08065,Lake,CO,7987,40344
304,08067,La Plata,CO,56564,61304
305,08069,Larimer,CO,360428,58725
306,08071,Las Animas,CO,14420,43118
307,08073,Lincoln,CO,5680,35695
308,08075,Logan,CO,21974,46217
309,08077,Mesa,CO,155603,48435
310,08079,Mineral,CO,773,73101
311,08081,Moffat,CO,13144,47467
312,08083,Montezuma,CO,26408,46919
313,08085,Montrose,CO,43322,45262
314,08087,Morgan,CO,28941,48701
315,08089,Otero,CO,18201,41333
316,08091,Ouray,CO,5001,67263
317,08093,Park,CO,18955,48514
318,08095,Phillips,CO,4367,49877
319,08097,Pitkin,CO,17894,155067
320,08099,Prowers,CO,12106,41990
321,08101,Pueblo,CO,169823,43196
322,08103,Rio Blanco,CO,6342,52422
323,08105,Rio Grande,CO,11296,53641
324,08107,Routt,CO,25560,85836
325,08109,Saguache,CO,6938,40032
326,08111,San Juan,CO,748,50039
327,08113,San Miguel,CO,8105,93954
328,08115,Sedgwick,CO,2260,50896
329,08117,Summit,CO,30631,77754
330,08119,Teller,CO,25529,54587
331,08121,Washington,CO,4875,49287
332,08123,Weld,CO,333983,52054
333,08125,Yuma,CO,10047,47285
334,09001,Fairfield,CT,942426,120244
335,09003,Hartford,CT,889226,67938
336,09005,Litchfield,CT,179610,67118
337,09007,Middlesex,CT,161657,71291
338,09009,New Haven,CT,851948,60092
339,09011,New London,CT,264999,61191
340,09013,Tolland,CT,150600,59590
341,09015,Windham,CT,116540,50747
342,10001,Kent,DE,183643,46600
343,10003,New Castle,DE,561531,59955
344,10005,Sussex,DE,241635,54352
345,11001,District of Columbia,DC,712816,86567
346,12001,Alachua,FL,271218,49556
347,12003,Baker,FL,29566,36552
348,12005,Bay,FL,171322,50696
349,12007,Bradford,FL,28593,36301
350,12009,Brevard,FL,608459,51507
351,12011,Broward,FL,1958105,55908
352,12013,Calhoun,FL,14078,32264
353,12015,Charlotte,FL,194711,45606
354,12017,Citrus,FL,153010,41933
355,12019,Clay,FL,221770,47407
356,12021,Collier,FL,392973,103865
357,12023,Columbia,FL,72654,38243
358,12027,DeSoto,FL,38520,27863
359,12029,Dixie,FL,17057,30651
360,12031,Duval,FL,966728,51131
361,12033,Escambia,FL,322364,47381
362,12035,Flagler,FL,118451,50599
363,12037,Franklin,FL,12201,39452
364,12039,Gadsden,FL,45277,38507
365,12041,Gilchrist,FL,18885,37425
366,12043,Glades,FL,14198,28116
367,12045,Gulf,FL,13534,49666
368,12047,Hamilton,FL,14521,29383
369,12049,Hardee,FL,26822,31775
370,12051,Hendry,FL,42813,35546
371,12053,Hernando,FL,198792,41385
372,12055,Highlands,FL,106639,37158
373,12057,Hillsborough,FL,1497957,51848
374,12059,Holmes,FL,19594,34661
375,12061,Indian River,FL,162518,84607
376,12063,Jackson,FL,46085,38710
377,12065,Jefferson,FL,14543,44065
378,12067,Lafayette,FL,8482,30032
379,12069,Lake,FL,375492,46563
380,12071,Lee,FL,790767,54707
381,12073,Leon,FL,295460,48850
382,12075,Levy,FL,42214,40598
383,12077,Liberty,FL,8364,28496
384,12079,Madison,FL,18707,35828
385,12081,Manatee,FL,411219,52395
386,12083,Marion,FL,373513,41553
387,12085,Martin,FL,162088,89185
388,12086,Miami-Dade,FL,2707303,57213
389,12087,Monroe,FL,73900,106583
390,12089,Nassau,FL,91113,64746
391,12091,Okaloosa,FL,212820,54630
392,12093,Okeechobee,FL,42297,34998
393,12095,Orange,FL,1404396,49390
394,12097,Osceola,FL,385315,39210
395,12099,Palm Beach,FL,1507600,87478
396,12101,Pasco,FL,570412,45461
397,12103,Pinellas,FL,976802,59178
398,12105,Polk,FL,744552,39760
399,12107,Putnam,FL,74815,36354
400,12109,St. Johns,FL,278715,73944
401,12111,St. Lucie,FL,337186,43970
402,12113,Santa Rosa,FL,189139,49472
403,12115,Sarasota,FL,443465,70884
404,12117,Seminole,FL,474171,53403
405,12119,Sumter,FL,139018,54533
406,12121,Suwannee,FL,44851,35987
407,12123,Taylor,FL,21600,33227
408,12125,Union,FL,15182,24593
409,12127,Volusia,FL,561497,46475
410,12129,Wakulla,FL,34319,39938
411,12131,Walton,FL,76648,69862
412,12133,Washington,FL,25932,32862
413,13001,Appling,GA,18325,39199
414,13003,Atkinson,GA,8393,31938
415,13005,Bacon,GA,11036,38281
416,13007,Baker,GA,2971,43156
417,13009,Baldwin,GA,45099,36399
418,13011,Banks,GA,19352,37333
419,13013,Barrow,GA,85588,40435
420,13015,Bartow,GA,109426,42734
421,13017,Ben Hill,GA,16614,36234
422,13019,Berrien,GA,19408,35260
