,GeoFips,GeoName_x,per_capita_income,GeoName_y,population
0,01001,"Autauga, AL",46814,"Autauga, AL",56145
1,01003,"Baldwin, AL",50953,"Baldwin, AL",229287
2,01005,"Barbour, AL",37850,"Barbour, AL",24589
3,01007,"Bibb, AL",34300,"Bibb, AL",22136
4,01009,"Blount, AL",38808,"Blount, AL",57879
5,01011,"Bullock, AL",31944,"Bullock, AL",9976
6,01013,"Butler, AL",39988,"Butler, AL",19504
7,01015,"Calhoun, AL",40195,"Calhoun, AL",113469
8,01017,"Chambers, AL",38508,"Chambers, AL",32865
9,01019,"Cherokee, AL",37869,"Cherokee, AL",26294
10,01021,"Chilton, AL",38778,"Chilton, AL",44397
11,01023,"Choctaw, AL",42231,"Choctaw, AL",12418
12,01025,"Clarke, AL",40822,"Clarke, AL",23291
13,01027,"Clay, AL",37179,"Clay, AL",13112
14,01029,"Cleburne, AL",37734,"Cleburne, AL",14967
15,01031,"Coffee, AL",45262,"Coffee, AL",53230
16,01033,"Colbert, AL",41941,"Colbert, AL",55411
17,01035,"Conecuh, AL",36908,"Conecuh, AL",11851
18,01037,"Coosa, AL",34683,"Coosa, AL",10650
19,01039,"Covington, AL",37930,"Covington, AL",36930
20,01041,"Crenshaw, AL",38161,"Crenshaw, AL",13681
21,01043,"Cullman, AL",42659,"Cullman, AL",84515
22,01045,"Dale, AL",40111,"Dale, AL",48959
23,01047,"Dallas, AL",41195,"Dallas, AL",36098
24,01049,"DeKalb, AL",35100,"DeKalb, AL",71658
25,01051,"Elmore, AL",47270,"Elmore, AL",82158
26,01053,"Escambia, AL",37137,"Escambia, AL",36281
27,01055,"Etowah, AL",39852,"Etowah, AL",102371
28,01057,"Fayette, AL",38001,"Fayette, AL",16241
29,01059,"Franklin, AL",37362,"Franklin, AL",31507
30,01061,"Geneva, AL",38358,"Geneva, AL",26411
31,01063,"Greene, AL",35992,"Greene, AL",7990
32,01065,"Hale, AL",41190,"Hale, AL",14670
33,01067,"Henry, AL",45409,"Henry, AL",17223
34,01069,"Houston, AL",47072,"Houston, AL",106580
35,01071,"Jackson, AL",40089,"Jackson, AL",51582
36,01073,"Jefferson, AL",58424,"Jefferson, AL",655342
37,01075,"Lamar, AL",37161,"Lamar, AL",13764
38,01077,"Lauderdale, AL",40729,"Lauderdale, AL",93368
39,01079,"Lawrence, AL",38098,"Lawrence, AL",32857
40,01081,"Lee, AL",42468,"Lee, AL",166831
41,01083,"Limestone, AL",47695,"Limestone, AL",102228
42,01085,"Lowndes, AL",44921,"Lowndes, AL",9641
43,01087,"Macon, AL",37834,"Macon, AL",17895
44,01089,"Madison, AL",57128,"Madison, AL",379453
45,01091,"Marengo, AL",43854,"Marengo, AL",18733
46,01093,"Marion, AL",36330,"Marion, AL",29703
47,01095,"Marshall, AL",40045,"Marshall, AL",96990
48,01097,"Mobile, AL",42823,"Mobile, AL",412716
49,01099,"Monroe, AL",38192,"Monroe, AL",20459
50,01101,"Montgomery, AL",47776,"Montgomery, AL",224639
51,01103,"Morgan, AL",44679,"Morgan, AL",119883
52,01105,"Perry, AL",36217,"Perry, AL",8687
53,01107,"Pickens, AL",36861,"Pickens, AL",19793
54,01109,"Pike, AL",40342,"Pike, AL",32966
55,01111,"Randolph, AL",35208,"Randolph, AL",22920
56,01113,"Russell, AL",36526,"Russell, AL",58237
57,01115,"St. Clair, AL",43279,"St. Clair, AL",90739
58,01117,"Shelby, AL",59588,"Shelby, AL",221428
59,01119,"Sumter, AL",35310,"Sumter, AL",12225
60,01121,"Talladega, AL",38300,"Talladega, AL",79985
61,01123,"Tallapoosa, AL",45058,"Tallapoosa, AL",40133
62,01125,"Tuscaloosa, AL",42868,"Tuscaloosa, AL",210758
63,01127,"Walker, AL",44095,"Walker, AL",63143
64,01129,"Washington, AL",40371,"Washington, AL",15976
65,01131,"Wilcox, AL",38273,"Wilcox, AL",10206
66,01133,"Winston, AL",38382,"Winston, AL",23508
67,02010,"Aleutian Islands Census Area, AK*",(NA),"Aleutian Islands Census Area, AK*",(NA)
68,02013,"Aleutians East Borough, AK*",59574,"Aleutians East Borough, AK*",3401
69,02016,"Aleutians West Census Area, AK*",59674,"Aleutians West Census Area, AK*",5680
70,02020,"Anchorage Municipality, AK",70477,"Anchorage Municipality, AK",287095
71,02050,"Bethel Census Area, AK*",47936,"Bethel Census Area, AK*",18437
72,02060,"Bristol Bay Borough, AK",152678,"Bristol Bay Borough, AK",788
73,02063,"Chugach Census Area, AK*",69369,"Chugach Census Area, AK*",6427
74,02066,"Copper River Census Area, AK*",49783,"Copper River Census Area, AK*",2919
75,02068,"Denali Borough, AK*",72967,"Denali Borough, AK*",2081
76,02070,"Dillingham Census Area, AK*",60792,"Dillingham Census Area, AK*",4833
77,02090,"Fairbanks North Star Borough, AK",62254,"Fairbanks North Star Borough, AK",95651
78,02100,"Haines Borough, AK*",64956,"Haines Borough, AK*",2614
79,02105,"Hoonah-Angoon Census Area, AK*",64708,"Hoonah-Angoon Census Area, AK*",2141
80,02110,"Juneau City and Borough, AK",74162,"Juneau City and Borough, AK",31849
81,02122,"Kenai Peninsula Borough, AK*",56139,"Kenai Peninsula Borough, AK*",59414
82,02130,"Ketchikan Gateway Borough, AK*",70574,"Ketchikan Gateway Borough, AK*",13747
83,02150,"Kodiak Island Borough, AK",66988,"Kodiak Island Borough, AK",12992
84,02158,"Kusilvak Census Area, AK*",33968,"Kusilvak Census Area, AK*",8328
85,02164,"Lake and Peninsula Borough, AK*",63397,"Lake and Peninsula Borough, AK*",1493
86,02170,"Matanuska-Susitna Borough, AK",50386,"Matanuska-Susitna Borough, AK",110213
87,02180,"Nome Census Area, AK",55950,"Nome Census Area, AK",9909
88,02185,"North Slope Borough, AK*",90809,"North Slope Borough, AK*",9294
89,02188,"Northwest Arctic Borough, AK",52440,"Northwest Arctic Borough, AK",7644
90,02195,"Petersburg Borough, AK*",72412,"Petersburg Borough, AK*",3296
91,02198,"Prince of Wales-Hyder Census Area, AK*",48970,"Prince of Wales-Hyder Census Area, AK*",6147
92,02201,"Prince of Wales-Outer Ketchikan Census Area, AK*",(NA),"Prince of Wales-Outer Ketchikan Census Area, AK*",(NA)
93,02220,"Sitka City and Borough, AK*",70996,"Sitka City and Borough, AK*",8405
94,02230,"Skagway Municipality, AK*",66548,"Skagway Municipality, AK*",1179
95,02231,"Skagway-Yakutat-Angoon Census Area, AK*",(NA),"Skagway-Yakutat-Angoon Census Area, AK*",(NA)
96,02232,"Skagway-Hoonah-Angoon Census Area, AK*",(NA),"Skagway-Hoonah-Angoon Census Area, AK*",(NA)
97,02240,"Southeast Fairbanks Census Area, AK*",54808,"Southeast Fairbanks Census Area, AK*",6957
98,02261,"Valdez-Cordova Census Area, AK*",(NA),"Valdez-Cordova Census Area, AK*",(NA)
99,02275,"Wrangell City and Borough, AK*",48549,"Wrangell City and Borough, AK*",2510
100,02280,"Wrangell-Petersburg Census Area, AK*",(NA),"Wrangell-Petersburg Census Area, AK*",(NA)
101,02282,"Yakutat City and Borough, AK*",66119,"Yakutat City and Borough, AK*",637
102,02290,"Yukon-Koyukuk Census Area, AK*",63675,"Yukon-Koyukuk Census Area, AK*",5077
103,02901,"Aleutian Islands Division, AK*",(NA),"Aleutian Islands Division, AK*",(NA)
104,02903,"Angoon Division, AK*",(NA),"Angoon Division, AK*",(NA)
105,02904,"Barrow-North Slope Division, AK*",(NA),"Barrow-North Slope Division, AK*",(NA)
106,02905,"Bethel Division, AK*",(NA),"Bethel Division, AK*",(NA)
107,02907,"Bristol Bay Division, AK*",(NA),"Bristol Bay Division, AK*",(NA)
108,02908,"Cordova-McCarthy Division, AK*",(NA),"Cordova-McCarthy Division, AK*",(NA)
