"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Population (Number of persons) 1/" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2020"
"01001","Autauga, AL",56145
"01003","Baldwin, AL",229287
"01005","Barbour, AL",24589
"01007","Bibb, AL",22136
"01009","Blount, AL",57879
"01011","Bullock, AL",9976
"01013","Butler, AL",19504
"01015","Calhoun, AL",113469
"01017","Chambers, AL",32865
"01019","Cherokee, AL",26294
"01021","Chilton, AL",44397
"01023","Choctaw, AL",12418
"01025","Clarke, AL",23291
"01027","Clay, AL",13112
"01029","Cleburne, AL",14967
"01031","Coffee, AL",53230
"01033","Colbert, AL",55411
"01035","Conecuh, AL",11851
"01037","Coosa, AL",10650
"01039","Covington, AL",36930
"01041","Crenshaw, AL",13681
"01043","Cullman, AL",84515
"01045","Dale, AL",48959
"01047","Dallas, AL",36098
"01049","DeKalb, AL",71658
"01051","Elmore, AL",82158
"01053","Escambia, AL",36281
"01055","Etowah, AL",102371
"01057","Fayette, AL",16241
"01059","Franklin, AL",31507
"01061","Geneva, AL",26411
"01063","Greene, AL",7990
"01065","Hale, AL",14670
"01067","Henry, AL",17223
"01069","Houston, AL",106580
"01071","Jackson, AL",51582
"01073","Jefferson, AL",655342
"01075","Lamar, AL",13764
"01077","Lauderdale, AL",93368
"01079","Lawrence, AL",32857
"01081","Lee, AL",166831
"01083","Limestone, AL",102228
"01085","Lowndes, AL",9641
"01087","Macon, AL",17895
"01089","Madison, AL",379453
"01091","Marengo, AL",18733
"01093","Marion, AL",29703
"01095","Marshall, AL",96990
"01097","Mobile, AL",412716
"01099","Monroe, AL",20459
"01101","Montgomery, AL",224639
"01103","Morgan, AL",119883
"01105","Perry, AL",8687
"01107","Pickens, AL",19793
"01109","Pike, AL",32966
"01111","Randolph, AL",22920
"01113","Russell, AL",58237
"01115","St. Clair, AL",90739
"01117","Shelby, AL",221428
"01119","Sumter, AL",12225
"01121","Talladega, AL",79985
"01123","Tallapoosa, AL",40133
"01125","Tuscaloosa, AL",210758
"01127","Walker, AL",63143
"01129","Washington, AL",15976
"01131","Wilcox, AL",10206
"01133","Winston, AL",23508
"02010","Aleutian Islands Census Area, AK*","(NA)"
"02013","Aleutians East Borough, AK*",3401
"02016","Aleutians West Census Area, AK*",5680
"02020","Anchorage Municipality, AK",287095
"02050","Bethel Census Area, AK*",18437
"02060","Bristol Bay Borough, AK",788
"02063","Chugach Census Area, AK*",6427
"02066","Copper River Census Area, AK*",2919
"02068","Denali Borough, AK*",2081
"02070","Dillingham Census Area, AK*",4833
"02090","Fairbanks North Star Borough, AK",95651
"02100","Haines Borough, AK*",2614
"02105","Hoonah-Angoon Census Area, AK*",2141
"02110","Juneau City and Borough, AK",31849
"02122","Kenai Peninsula Borough, AK*",59414
"02130","Ketchikan Gateway Borough, AK*",13747
"02150","Kodiak Island Borough, AK",12992
"02158","Kusilvak Census Area, AK*",8328
"02164","Lake and Peninsula Borough, AK*",1493
"02170","Matanuska-Susitna Borough, AK",110213
"02180","Nome Census Area, AK",9909
"02185","North Slope Borough, AK*",9294
"02188","Northwest Arctic Borough, AK",7644
"02195","Petersburg Borough, AK*",3296
"02198","Prince of Wales-Hyder Census Area, AK*",6147
"02201","Prince of Wales-Outer Ketchikan Census Area, AK*","(NA)"
"02220","Sitka City and Borough, AK*",8405
"02230","Skagway Municipality, AK*",1179
"02231","Skagway-Yakutat-Angoon Census Area, AK*","(NA)"
"02232","Skagway-Hoonah-Angoon Census Area, AK*","(NA)"
"02240","Southeast Fairbanks Census Area, AK*",6957
"02261","Valdez-Cordova Census Area, AK*","(NA)"
"02275","Wrangell City and Borough, AK*",2510
"02280","Wrangell-Petersburg Census Area, AK*","(NA)"
"02282","Yakutat City and Borough, AK*",637
"02290","Yukon-Koyukuk Census Area, AK*",5077
"02901","Aleutian Islands Division, AK*","(NA)"
"02903","Angoon Division, AK*","(NA)"
"02904","Barrow-North Slope Division, AK*","(NA)"
"02905","Bethel Division, AK*","(NA)"
"02907","Bristol Bay Division, AK*","(NA)"
"02908","Cordova-McCarthy Division, AK*","(NA)"
"02910","Haines Division, AK*","(NA)"
"02912","Kenai-Cook Inlet Division, AK*","(NA)"
"02916","Kuskokwim Division, AK*","(NA)"
"02919","Outer Ketchikan Division, AK*","(NA)"
"02920","Prince of Wales Division, AK*","(NA)"
"02921","Seward Division, AK*","(NA)"
"02922","Sitka Division, AK*","(NA)"
"02923","Skagway-Yakutat Division, AK*","(NA)"
"02924","Southeast Fairbanks Division, AK*","(NA)"
"02925","Upper Yukon Division, AK*","(NA)"
"02926","Valdez-Chitina-Whittier Division, AK*","(NA)"
"02928","Wrangell-Petersburg Division, AK*","(NA)"
"02929","Yukon-Koyukuk Division, AK*","(NA)"
"04001","Apache, AZ",71875
"04003","Cochise, AZ",127450
"04005","Coconino, AZ",142481
"04007","Gila, AZ",54303
"04009","Graham, AZ",39211
"04011","Greenlee, AZ",9341
"04012","La Paz, AZ*",21480
"04013","Maricopa, AZ",4579081
"04015","Mohave, AZ",217206
"04017","Navajo, AZ",112112
"04019","Pima, AZ",1061175
"04021","Pinal, AZ",480828
"04023","Santa Cruz, AZ",46808
"04025","Yavapai, AZ",240226
"04027","Yuma, AZ*",217824
"05001","Arkansas, AR",17383
"05003","Ashley, AR",19339
"05005","Baxter, AR",42242
"05007","Benton, AR",288774
"05009","Boone, AR",37625
"05011","Bradley, AR",10639
"05013","Calhoun, AR",5113
"05015","Carroll, AR",28276
"05017","Chicot, AR",9924
"05019","Clark, AR",22103
"05021","Clay, AR",14375
"05023","Cleburne, AR",24935
"05025","Cleveland, AR",7957
"05027","Columbia, AR",23331
"05029","Conway, AR",21037
"05031","Craighead, AR",112245
"05033","Crawford, AR",63409
"05035","Crittenden, AR",47616
"05037","Cross, AR",16142
"05039","Dallas, AR",6802
"05041","Desha, AR",11110
"05043","Drew, AR",17977
"05045","Faulkner, AR",126919
"05047","Franklin, AR",17897
"05049","Fulton, AR",12381
"05051","Garland, AR",99789
"05053","Grant, AR",18449
"05055","Greene, AR",45597
"05057","Hempstead, AR",21253
"05059","Hot Spring, AR",33787
"05061","Howard, AR",13109
"05063","Independence, AR",37757
"05065","Izard, AR",13613
"05067","Jackson, AR",16636
"05069","Jefferson, AR",65377
"05071","Johnson, AR",26513
"05073","Lafayette, AR",6596
"05075","Lawrence, AR",16410
"05077","Lee, AR",8513
"05079","Lincoln, AR",12944
"05081","Little River, AR",12180
"05083","Logan, AR",21410
"05085","Lonoke, AR",73921
"05087","Madison, AR",16644
"05089","Marion, AR",16790
"05091","Miller, AR",43177
"05093","Mississippi, AR",40066
"05095","Monroe, AR",6584
"05097","Montgomery, AR",9006
"05099","Nevada, AR",8099
"05101","Newton, AR",7602
"05103","Ouachita, AR",23167
"05105","Perry, AR",10327
"05107","Phillips, AR",17299
"05109","Pike, AR",10643
"05111","Poinsett, AR",23283
"05113","Polk, AR",19707
"05115","Pope, AR",64334
"05117","Prairie, AR",7966
"05119","Pulaski, AR",392980
"05121","Randolph, AR",18247
"05123","St. Francis, AR",24682
"05125","Saline, AR",123968
"05127","Scott, AR",10164
"05129","Searcy, AR",7842
"05131","Sebastian, AR",127590
"05133","Sevier, AR",16702
"05135","Sharp, AR",17424
"05137","Stone, AR",12674
"05139","Union, AR",38219
"05141","Van Buren, AR",16541
"05143","Washington, AR",243216
"05145","White, AR",78729
"05147","Woodruff, AR",6264
"05149","Yell, AR",21181
"06001","Alameda, CA",1662323
"06003","Alpine, CA",1119
"06005","Amador, CA",40083
"06007","Butte, CA",212744
"06009","Calaveras, CA",46308
"06011","Colusa, CA",21558
"06013","Contra Costa, CA",1152333
"06015","Del Norte, CA",27968
"06017","El Dorado, CA",192925
"06019","Fresno, CA",1000918
"06021","Glenn, CA",28283
"06023","Humboldt, CA",134977
"06025","Imperial, CA",180267
"06027","Inyo, CA",18046
"06029","Kern, CA",901362
"06031","Kings, CA",152692
"06033","Lake, CA",64479
"06035","Lassen, CA",30016
"06037","Los Angeles, CA",9943046
"06039","Madera, CA",157761
"06041","Marin, CA",257332
"06043","Mariposa, CA",17160
"06045","Mendocino, CA",86061
"06047","Merced, CA",279252
"06049","Modoc, CA",8763
"06051","Mono, CA",14534
"06053","Monterey, CA",430906
"06055","Napa, CA",135965
"06057","Nevada, CA",99606
"06059","Orange, CA",3166857
"06061","Placer, CA",402950
"06063","Plumas, CA",18967
"06065","Riverside, CA",2489188
"06067","Sacramento, CA",1559146
"06069","San Benito, CA",64055
"06071","San Bernardino, CA",2189183
"06073","San Diego, CA",3332427
"06075","San Francisco, CA",866606
"06077","San Joaquin, CA",767967
"06079","San Luis Obispo, CA",282249
"06081","San Mateo, CA",758308
"06083","Santa Barbara, CA",444766
"06085","Santa Clara, CA",1907105
"06087","Santa Cruz, CA",269925
"06089","Shasta, CA",179027
"06091","Sierra, CA",2920
"06093","Siskiyou, CA",43245
"06095","Solano, CA",446935
"06097","Sonoma, CA",489819
"06099","Stanislaus, CA",550081
"06101","Sutter, CA",96385
