,county,state,GeoFips
0,Autauga,AL,01001
1,Baldwin,AL,01003
2,Barbour,AL,01005
3,Bibb,AL,01007
4,Blount,AL,01009
5,Bullock,AL,01011
6,Butler,AL,01013
7,Calhoun,AL,01015
8,Chambers,AL,01017
9,Cherokee,AL,01019
10,Chilton,AL,01021
11,Choctaw,AL,01023
12,Clarke,AL,01025
13,Clay,AL,01027
14,Cleburne,AL,01029
15,Coffee,AL,01031
16,Colbert,AL,01033
17,Conecuh,AL,01035
18,Coosa,AL,01037
19,Covington,AL,01039
20,Crenshaw,AL,01041
21,Cullman,AL,01043
22,Dale,AL,01045
23,Dallas,AL,01047
24,DeKalb,AL,01049
25,Elmore,AL,01051
26,Escambia,AL,01053
27,Etowah,AL,01055
28,Fayette,AL,01057
29,Franklin,AL,01059
30,Geneva,AL,01061
31,Greene,AL,01063
32,Hale,AL,01065
33,Henry,AL,01067
34,Houston,AL,01069
35,Jackson,AL,01071
36,Jefferson,AL,01073
37,Lamar,AL,01075
38,Lauderdale,AL,01077
39,Lawrence,AL,01079
40,Lee,AL,01081
41,Limestone,AL,01083
42,Lowndes,AL,01085
43,Macon,AL,01087
44,Madison,AL,01089
45,Marengo,AL,01091
46,Marion,AL,01093
47,Marshall,AL,01095
48,Mobile,AL,01097
49,Monroe,AL,01099
50,Montgomery,AL,01101
51,Morgan,AL,01103
52,Perry,AL,01105
53,Pickens,AL,01107
54,Pike,AL,01109
55,Randolph,AL,01111
56,Russell,AL,01113
57,St. Clair,AL,01115
58,Shelby,AL,01117
59,Sumter,AL,01119
60,Talladega,AL,01121
61,Tallapoosa,AL,01123
62,Tuscaloosa,AL,01125
63,Walker,AL,01127
64,Washington,AL,01129
65,Wilcox,AL,01131
66,Winston,AL,01133
67,Aleutian Islands Census Area,AK,02010
68,Aleutians East Borough,AK,02013
69,Aleutians West Census Area,AK,02016
70,Anchorage Municipality,AK,02020
71,Bethel Census Area,AK,02050
72,Bristol Bay Borough,AK,02060
73,Chugach Census Area,AK,02063
74,Copper River Census Area,AK,02066
75,Denali Borough,AK,02068
76,Dillingham Census Area,AK,02070
77,Fairbanks North Star Borough,AK,02090
78,Haines Borough,AK,02100
79,Hoonah-Angoon Census Area,AK,02105
80,Juneau City and Borough,AK,02110
81,Kenai Peninsula Borough,AK,02122
82,Ketchikan Gateway Borough,AK,02130
83,Kodiak Island Borough,AK,02150
84,Kusilvak Census Area,AK,02158
85,Lake and Peninsula Borough,AK,02164
86,Matanuska-Susitna Borough,AK,02170
87,Nome Census Area,AK,02180
88,North Slope Borough,AK,02185
89,Northwest Arctic Borough,AK,02188
90,Petersburg Borough,AK,02195
91,Prince of Wales-Hyder Census Area,AK,02198
92,Prince of Wales-Outer Ketchikan Census Area,AK,02201
93,Sitka City and Borough,AK,02220
94,Skagway Municipality,AK,02230
95,Skagway-Yakutat-Angoon Census Area,AK,02231
96,Skagway-Hoonah-Angoon Census Area,AK,02232
97,Southeast Fairbanks Census Area,AK,02240
98,Valdez-Cordova Census Area,AK,02261
99,Wrangell City and Borough,AK,02275
100,Wrangell-Petersburg Census Area,AK,02280
101,Yakutat City and Borough,AK,02282
102,Yukon-Koyukuk Census Area,AK,02290
103,Aleutian Islands Division,AK,02901
104,Angoon Division,AK,02903
105,Barrow-North Slope Division,AK,02904
106,Bethel Division,AK,02905
107,Bristol Bay Division,AK,02907
108,Cordova-McCarthy Division,AK,02908
109,Haines Division,AK,02910
110,Kenai-Cook Inlet Division,AK,02912
111,Kuskokwim Division,AK,02916
112,Outer Ketchikan Division,AK,02919
113,Prince of Wales Division,AK,02920
114,Seward Division,AK,02921
115,Sitka Division,AK,02922
116,Skagway-Yakutat Division,AK,02923
117,Southeast Fairbanks Division,AK,02924
118,Upper Yukon Division,AK,02925
119,Valdez-Chitina-Whittier Division,AK,02926
120,Wrangell-Petersburg Division,AK,02928
121,Yukon-Koyukuk Division,AK,02929
122,Apache,AZ,04001
123,Cochise,AZ,04003
124,Coconino,AZ,04005
125,Gila,AZ,04007
126,Graham,AZ,04009
127,Greenlee,AZ,04011
128,La Paz,AZ,04012
129,Maricopa,AZ,04013
130,Mohave,AZ,04015
131,Navajo,AZ,04017
132,Pima,AZ,04019
133,Pinal,AZ,04021
134,Santa Cruz,AZ,04023
135,Yavapai,AZ,04025
136,Yuma,AZ,04027
137,Arkansas,AR,05001
138,Ashley,AR,05003
139,Baxter,AR,05005
140,Benton,AR,05007
141,Boone,AR,05009
142,Bradley,AR,05011
143,Calhoun,AR,05013
144,Carroll,AR,05015
145,Chicot,AR,05017
146,Clark,AR,05019
147,Clay,AR,05021
148,Cleburne,AR,05023
149,Cleveland,AR,05025
150,Columbia,AR,05027
