,GeoFips,per_capita_income
0,01001,46814
1,01003,50953
2,01005,37850
3,01007,34300
4,01009,38808
5,01011,31944
6,01013,39988
7,01015,40195
8,01017,38508
9,01019,37869
10,01021,38778
11,01023,42231
12,01025,40822
13,01027,37179
14,01029,37734
15,01031,45262
16,01033,41941
17,01035,36908
18,01037,34683
19,01039,37930
20,01041,38161
21,01043,42659
22,01045,40111
23,01047,41195
24,01049,35100
25,01051,47270
26,01053,37137
27,01055,39852
28,01057,38001
29,01059,37362
30,01061,38358
31,01063,35992
32,01065,41190
33,01067,45409
34,01069,47072
35,01071,40089
36,01073,58424
37,01075,37161
38,01077,40729
39,01079,38098
40,01081,42468
41,01083,47695
42,01085,44921
43,01087,37834
44,01089,57128
45,01091,43854
46,01093,36330
47,01095,40045
48,01097,42823
49,01099,38192
50,01101,47776
51,01103,44679
52,01105,36217
53,01107,36861
54,01109,40342
55,01111,35208
56,01113,36526
57,01115,43279
58,01117,59588
59,01119,35310
60,01121,38300
61,01123,45058
62,01125,42868
63,01127,44095
64,01129,40371
65,01131,38273
66,01133,38382
67,02010,(NA)
68,02013,59574
69,02016,59674
70,02020,70477
71,02050,47936
72,02060,152678
73,02063,69369
74,02066,49783
75,02068,72967
76,02070,60792
77,02090,62254
78,02100,64956
79,02105,64708
80,02110,74162
81,02122,56139
82,02130,70574
83,02150,66988
84,02158,33968
85,02164,63397
86,02170,50386
87,02180,55950
88,02185,90809
89,02188,52440
90,02195,72412
91,02198,48970
92,02201,(NA)
93,02220,70996
94,02230,66548
95,02231,(NA)
96,02232,(NA)
97,02240,54808
98,02261,(NA)
99,02275,48549
100,02280,(NA)
101,02282,66119
102,02290,63675
103,02901,(NA)
104,02903,(NA)
105,02904,(NA)
106,02905,(NA)
107,02907,(NA)
108,02908,(NA)
109,02910,(NA)
110,02912,(NA)
111,02916,(NA)
112,02919,(NA)
113,02920,(NA)
114,02921,(NA)
115,02922,(NA)
116,02923,(NA)
117,02924,(NA)
118,02925,(NA)
119,02926,(NA)
120,02928,(NA)
121,02929,(NA)
122,04001,38915
123,04003,45786
124,04005,53036
125,04007,44201
126,04009,35072
127,04011,44050
128,04012,39482
129,04013,53521
130,04015,36529
131,04017,36169
132,04019,48373
133,04021,35949
134,04023,42204
135,04025,44490
136,04027,40800
137,05001,50534
138,05003,38489
139,05005,39950
140,05007,94289
141,05009,38108
142,05011,42037
143,05013,38509
144,05015,34692
145,05017,44762
146,05019,39450
147,05021,39157
148,05023,41656
149,05025,40366
150,05027,38806
151,05029,40633
152,05031,40728
153,05033,35919
154,05035,41474
155,05037,41715
156,05039,40611
157,05041,44920
158,05043,40726
159,05045,41943
160,05047,33885
161,05049,31840
162,05051,44358
163,05053,41674
164,05055,38560
165,05057,33760
166,05059,34110
167,05061,34751
