,st,GeoFips,county_name,pcp_count
0,FL,12086,Miami-Dade,13619
12,PR,72027,Camuy,20
32,CA,06025,Imperial,236
101,OK,40109,Oklahoma,2914
108,OH,39115,Morgan,19
557,CO,08059,Jefferson,1459
648,TX,48439,Tarrant,4619
750,CO,08031,Denver,2324
795,DC,11001,District of Columbia,2645
953,TX,48113,Dallas,6554
1067,CA,06037,Los Angeles,18526
1090,FL,12099,Palm Beach,4005
1340,KS,20091,Johnson,2483
1537,NY,36081,Queens,3586
1558,FL,12111,St. Lucie,640
1772,IN,18163,Vanderburgh,808
1880,MI,26163,Wayne,5045
1889,CA,06085,Santa Clara,4342
1967,PR,72021,Bayamón,200
2027,KY,21047,Christian,180
2339,MD,24033,Prince George's,2888
2525,VA,51810,Virginia Beach,1058
2548,NY,36061,New York,8657
2651,NJ,34031,Passaic,706
2655,AZ,04027,Yuma,363
2937,TX,48201,Harris,12445
3041,FL,12127,Volusia,1336
3211,FL,12011,Broward,4725
3866,FL,12115,Sarasota,1488
4163,NC,37125,Moore,496
4333,GA,13135,Gwinnett,1516
4392,NY,36059,Nassau,9091
4916,PR,72031,Carolina,87
4944,IA,19061,Dubuque,305
5179,VA,51107,Loudoun,1271
5398,NC,37183,Wake,4342
5420,MS,28151,Washington,73
5472,PA,42017,Bucks,1806
5505,MS,28149,Warren,93
5563,TX,48183,Gregg,426
5758,CO,08041,El Paso,2523
6358,CA,06065,Riverside,3271
6468,FL,12081,Manatee,750
6607,TX,48453,Travis,3764
6915,AL,01089,Madison,1063
6921,CA,06061,Placer,757
6967,OH,39049,Franklin,6620
6981,CT,09015,Windham,262
6992,CA,06013,Contra Costa,1856
7009,MD,24005,Baltimore,3629
7196,PR,72025,Caguas,196
7381,MI,26125,Oakland,5087
7476,MO,29189,St. Louis,3885
7502,TN,47059,Greene,171
7753,CA,06071,San Bernardino,3282
8386,WA,53067,Thurston,847
8487,HI,15009,Maui,311
8521,GA,13089,DeKalb,1908
8571,TX,48121,Denton,1304
9033,NY,36103,Suffolk,4396
9058,PA,42045,Delaware,1477
9066,NY,36019,Clinton,254
9285,NC,37179,Union,375
9778,NV,32003,Clark,4311
9938,NJ,34011,Cumberland,263
10037,MS,28059,Jackson,377
10796,FL,12095,Orange,4127
10879,PR,72097,Mayagüez,135
10901,FL,72097,Mayagüez,135
11002,GA,13031,Bulloch,135
11154,IL,17043,DuPage,4248
11461,MD,24031,Montgomery,3065
11582,CA,06059,Orange,6207
12167,GA,13151,Henry,453
12228,TX,48481,Wharton,51
12267,MO,29019,Boone,467
12512,MD,24510,Baltimore,3107
13080,IL,17031,Cook,16124
14458,NY,36047,Kings,3641
14537,NY,36055,Monroe,3772
14539,NJ,34013,Essex,1540
14586,PA,42079,Luzerne,966
14788,VA,51041,Chesterfield,957
14939,PR,72127,San Juan,368
15162,NJ,34003,Bergen,2169
15542,VA,51165,Rockingham,28
15546,MI,26049,Genesee,1106
16052,PR,72013,Arecibo,80
16126,AZ,04013,Maricopa,13326
17157,IN,18073,Jasper,74
17432,PR,72043,Coamo,11
17727,VA,51061,Fauquier,95
18163,MD,24045,Wicomico,393
