,GeoFips,county,state,pcp_count,population,pop_density,per_capita_income,pcp_per_capita,pop_density_lvl,region
0,12086,Miami-Dade,FL,13619,2715516,552.18707080322,57213,5.0152530863379186,3,southeast
1,06025,Imperial,CA,236,180216,16.6599907311579,44500,1.3095396635148933,1,far_west
2,40109,Oklahoma,OK,2914,782051,425.989527659625,56971,3.7260997044949753,3,southwest
3,39115,Morgan,OH,19,14702,13.631412170575,38583,1.2923411780710106,1,great_lakes
4,08059,Jefferson,CO,1459,570427,288.167016396746,68829,2.55773306663254,3,rocky_mountain
5,48439,Tarrant,TX,4619,2019977,903.05200921491,55615,2.286659699590639,3,southwest
6,08031,Denver,CO,2324,693417,1746.53366714867,85411,3.351518638856561,3,rocky_mountain
7,11001,District of Columbia,DC,2645,684498,4322.95256868476,86567,3.8641456950933386,3,mideast
8,48113,Dallas,TX,6554,2586552,1145.19391461404,65401,2.533875213024907,3,southwest
9,06037,Los Angeles,CA,18526,10098052,960.742777931457,68272,1.834611269579519,3,far_west
10,06037,Los Angeles,FL,18526,10098052,960.742777931457,68272,1.834611269579519,3,southeast
11,06037,Los Angeles,HI,18526,10098052,960.742777931457,68272,1.834611269579519,3,far_west
12,12099,Palm Beach,FL,4005,1446277,284.088504026507,87478,2.769179071505666,3,southeast
13,20091,Johnson,KS,2483,585502,477.318848192482,80681,4.240805326027921,3,plains
14,36081,Queens,NY,3586,2298513,8158.43715313306,57085,1.5601390986259378,3,mideast
15,12111,St. Lucie,FL,640,305591,206.388959617123,43970,2.0943025154536623,3,southeast
16,18163,Vanderburgh,IN,808,181313,299.58893000951,50033,4.456382057546894,3,great_lakes
17,26163,Wayne,MI,5045,1761382,1111.24397371973,48788,2.864228202627255,3,great_lakes
18,06085,Santa Clara,CA,4342,1922200,574.838369914046,123661,2.2588700447404015,3,far_west
19,21047,Christian,KY,180,72263,38.8857619329321,42884,2.490901291117169,2,southeast
20,24033,Prince George's,MD,2888,906202,724.925816501816,54195,3.1869274179487577,3,mideast
21,51810,Virginia Beach,VA,1058,450135,710.179967367614,60796,2.350405989314317,3,southeast
22,36061,New York,NY,8657,1632480,27819.8048012476,191220,5.302974615309223,3,mideast
23,34031,Passaic,NJ,706,504041,1046.23333809151,55775,1.4006797066111687,3,mideast
24,04027,Yuma,AZ,363,207829,14.5527021726827,40800,1.7466282376376734,1,southwest
25,48201,Harris,TX,12445,4602523,1042.13065070773,60183,2.7039517238697126,3,southwest
26,12127,Volusia,FL,1336,527634,184.991514788623,46475,2.5320582070147113,3,southeast
27,12011,Broward,FL,4725,1909151,612.687716792382,55908,2.474922098880602,3,southeast
28,12115,Sarasota,FL,1488,412144,285.758092060701,70884,3.6103886020420046,3,southeast
29,37125,Moore,NC,496,95629,52.9220807721414,54514,5.186711144109005,3,southeast
30,13135,Gwinnett,GA,1516,902298,809.14340930423,46886,1.680154450081902,3,southeast
31,36059,Nassau,NY,9091,1356564,1840.44398406769,96253,6.701489940762102,3,mideast
32,19061,Dubuque,IA,305,96802,61.4425506828954,54751,3.150761347906035,3,plains
33,51107,Loudoun,VA,1271,385143,288.317756013779,84374,3.3000729599135905,3,southeast
34,37183,Wake,NC,4342,1046558,484.029322859142,65450,4.14883838258367,3,southeast
35,28151,Washington,MS,73,47086,25.0849809802452,43778,1.5503546701779722,2,southeast
36,42017,Bucks,PA,1806,626370,400.118508718221,80627,2.883279850567556,3,mideast
37,28149,Warren,MS,93,47075,30.883998255286,44422,1.975570897503983,2,southeast
38,48183,Gregg,TX,426,123494,174.413694850221,49152,3.449560302524819,3,southwest
39,08041,El Paso,CO,2523,688153,124.925568993339,54151,3.6663358293867785,3,rocky_mountain
40,06065,Riverside,CA,3271,2383286,127.688110556421,45834,1.3724748099892332,3,far_west
41,12081,Manatee,FL,750,373853,194.239008473812,52395,2.0061361016228303,3,southeast
42,48453,Travis,TX,3764,1203166,468.362862808123,74032,3.128412870709445,3,southwest
43,01089,Madison,AL,1063,357560,172.227500046414,57128,2.97292762053921,3,southeast
44,06061,Placer,CA,757,380077,104.292831368025,72279,1.99170168150138,3,far_west
45,39049,Franklin,OH,6620,1275333,924.861776609585,55294,5.190801147621837,3,great_lakes
46,39049,Franklin,KY,6620,1275333,924.861776609585,55294,5.190801147621837,3,southeast
47,09015,Windham,CT,262,116538,87.722911731784,50747,2.2481937222193618,3,new_england
48,06013,Contra Costa,CA,1856,1133247,610.18029042211,92264,1.6377718185002916,3,far_west
49,24005,Baltimore,MD,3629,827625,534.041378368073,66585,4.384836127473191,3,mideast
50,24005,Baltimore,ME,3629,827625,534.041378368073,66585,4.384836127473191,3,new_england
51,26125,Oakland,MI,5087,1250843,556.779856652962,76941,4.066857311429173,3,great_lakes
52,29189,St. Louis,MO,3885,998684,759.90124768714,78804,3.8901193971266186,3,plains
53,47059,Greene,TN,171,68669,42.6142390526678,39310,2.4902066434635715,2,southeast
