,GeoFips,county,state,population,per_capita_income,zip,latitude,longitude
0,02013,Aleutians East Borough,AK,3401,59574,99553,54.12,-165.83
1,02013,Aleutians East Borough,AK,3401,59574,99571,55.22,-162.78
2,02013,Aleutians East Borough,AK,3401,59574,99583,54.89,-163.41
3,02013,Aleutians East Borough,AK,3401,59574,99612,55.08,-162.32
4,02013,Aleutians East Borough,AK,3401,59574,99661,55.26,-160.66
5,02016,Aleutians West Census Area,AK,5680,59674,99546,51.83,-176.63
6,02016,Aleutians West Census Area,AK,5680,59674,99547,52.21,-174.22
7,02016,Aleutians West Census Area,AK,5680,59674,99591,56.57,-169.63
8,02016,Aleutians West Census Area,AK,5680,59674,99638,52.9,-168.94
9,02016,Aleutians West Census Area,AK,5680,59674,99660,57.18,-170.26
10,02016,Aleutians West Census Area,AK,5680,59674,99685,53.9,-166.4
11,02016,Aleutians West Census Area,AK,5680,59674,99692,53.89,-166.54
12,02020,Anchorage Municipality,AK,287095,70477,99501,61.22,-149.85
13,02020,Anchorage Municipality,AK,287095,70477,99502,61.16,-149.99
14,02020,Anchorage Municipality,AK,287095,70477,99503,61.18,-149.88
15,02020,Anchorage Municipality,AK,287095,70477,99504,61.2,-149.75
16,02020,Anchorage Municipality,AK,287095,70477,99505,61.26,-149.6
17,02020,Anchorage Municipality,AK,287095,70477,99506,61.27,-149.79
18,02020,Anchorage Municipality,AK,287095,70477,99507,61.14,-149.76
19,02020,Anchorage Municipality,AK,287095,70477,99508,61.2,-149.82
20,02020,Anchorage Municipality,AK,287095,70477,99513,61.21,-149.89
21,02020,Anchorage Municipality,AK,287095,70477,99515,61.11,-149.9
22,02020,Anchorage Municipality,AK,287095,70477,99516,61.08,-149.7
23,02020,Anchorage Municipality,AK,287095,70477,99517,61.19,-149.94
24,02020,Anchorage Municipality,AK,287095,70477,99518,61.15,-149.88
25,02020,Anchorage Municipality,AK,287095,70477,99540,61.0,-149.43
26,02020,Anchorage Municipality,AK,287095,70477,99567,61.41,-149.17
27,02020,Anchorage Municipality,AK,287095,70477,99577,61.21,-149.25
28,02020,Anchorage Municipality,AK,287095,70477,99587,60.9,-148.91
29,02050,Bethel Census Area,AK,18437,47936,99545,60.78,-161.79
30,02050,Bethel Census Area,AK,18437,47936,99551,60.9,-161.42
31,02050,Bethel Census Area,AK,18437,47936,99552,60.9,-161.23
32,02050,Bethel Census Area,AK,18437,47936,99557,61.2,-158.6
33,02050,Bethel Census Area,AK,18437,47936,99559,60.81,-161.85
