,zip,state_id,county_fips,county_name
0,00601,PR,72001,Adjuntas
1,00602,PR,72003,Aguada
2,00603,PR,72005,Aguadilla
3,00606,PR,72093,Maricao
4,00610,PR,72011,Añasco
5,00612,PR,72013,Arecibo
6,00616,PR,72013,Arecibo
7,00617,PR,72017,Barceloneta
8,00622,PR,72023,Cabo Rojo
9,00623,PR,72023,Cabo Rojo
10,00624,PR,72111,Peñuelas
11,00627,PR,72027,Camuy
12,00631,PR,72081,Lares
13,00637,PR,72121,Sabana Grande
14,00638,PR,72039,Ciales
15,00641,PR,72141,Utuado
16,00646,PR,72051,Dorado
17,00647,PR,72055,Guánica
18,00650,PR,72054,Florida
19,00652,PR,72013,Arecibo
20,00653,PR,72055,Guánica
21,00656,PR,72059,Guayanilla
22,00659,PR,72065,Hatillo
23,00660,PR,72067,Hormigueros
24,00662,PR,72071,Isabela
25,00664,PR,72073,Jayuya
26,00667,PR,72079,Lajas
27,00669,PR,72081,Lares
28,00670,PR,72083,Las Marías
29,00674,PR,72091,Manatí
30,00676,PR,72099,Moca
31,00677,PR,72117,Rincón
32,00678,PR,72115,Quebradillas
33,00680,PR,72097,Mayagüez
34,00682,PR,72097,Mayagüez
35,00683,PR,72125,San Germán
36,00685,PR,72131,San Sebastián
37,00687,PR,72101,Morovis
38,00688,PR,72013,Arecibo
39,00690,PR,72005,Aguadilla
40,00692,PR,72143,Vega Alta
41,00693,PR,72145,Vega Baja
42,00694,PR,72145,Vega Baja
43,00698,PR,72153,Yauco
44,00703,PR,72007,Aguas Buenas
45,00704,PR,72123,Salinas
46,00705,PR,72009,Aibonito
47,00707,PR,72095,Maunabo
48,00714,PR,72015,Arroyo
49,00715,PR,72113,Ponce
50,00716,PR,72113,Ponce
51,00717,PR,72113,Ponce
52,00718,PR,72103,Naguabo
53,00719,PR,72105,Naranjito
54,00720,PR,72107,Orocovis
55,00723,PR,72109,Patillas
56,00725,PR,72025,Caguas
57,00727,PR,72025,Caguas
58,00728,PR,72113,Ponce
59,00729,PR,72029,Canóvanas
60,00730,PR,72113,Ponce
61,00731,PR,72113,Ponce
62,00735,PR,72037,Ceiba
63,00736,PR,72035,Cayey
64,00738,PR,72053,Fajardo
65,00739,PR,72041,Cidra
66,00740,PR,72053,Fajardo
67,00741,PR,72069,Humacao
68,00745,PR,72119,Río Grande
69,00751,PR,72123,Salinas
70,00754,PR,72129,San Lorenzo
71,00757,PR,72133,Santa Isabel
72,00765,PR,72147,Vieques
73,00766,PR,72149,Villalba
74,00767,PR,72151,Yabucoa
75,00769,PR,72043,Coamo
76,00771,PR,72085,Las Piedras
77,00772,PR,72087,Loíza
78,00773,PR,72089,Luquillo
79,00775,PR,72049,Culebra
80,00777,PR,72077,Juncos
81,00778,PR,72063,Gurabo
82,00780,PR,72113,Ponce
83,00782,PR,72045,Comerío
84,00783,PR,72047,Corozal
85,00784,PR,72057,Guayama
86,00786,PR,72009,Aibonito
87,00791,PR,72069,Humacao
88,00794,PR,72019,Barranquitas
89,00795,PR,72075,Juana Díaz
90,00801,VI,78030,St. Thomas
91,00802,VI,78030,St. Thomas
92,00820,VI,78010,St. Croix
93,00823,VI,78010,St. Croix
94,00824,VI,78010,St. Croix
95,00830,VI,78020,St. John
96,00831,VI,78020,St. John
97,00840,VI,78010,St. Croix
98,00841,VI,78010,St. Croix
99,00850,VI,78010,St. Croix
100,00851,VI,78010,St. Croix
101,00901,PR,72127,San Juan
102,00906,PR,72127,San Juan
103,00907,PR,72127,San Juan
104,00909,PR,72127,San Juan
105,00911,PR,72127,San Juan
106,00912,PR,72127,San Juan
107,00913,PR,72127,San Juan
108,00915,PR,72127,San Juan
109,00917,PR,72127,San Juan
110,00918,PR,72127,San Juan
111,00920,PR,72127,San Juan
112,00921,PR,72127,San Juan
113,00923,PR,72127,San Juan
114,00924,PR,72127,San Juan
115,00925,PR,72127,San Juan
116,00926,PR,72127,San Juan
117,00927,PR,72127,San Juan
118,00934,PR,72061,Guaynabo
119,00936,PR,72127,San Juan
120,00949,PR,72137,Toa Baja
123,00952,PR,72137,Toa Baja
124,00953,PR,72135,Toa Alta
125,00956,PR,72021,Bayamón
126,00957,PR,72021,Bayamón
127,00959,PR,72021,Bayamón
128,00960,PR,72021,Bayamón
129,00961,PR,72021,Bayamón
130,00962,PR,72033,Cataño
131,00965,PR,72061,Guaynabo
132,00966,PR,72061,Guaynabo
133,00968,PR,72061,Guaynabo
134,00969,PR,72061,Guaynabo
135,00971,PR,72061,Guaynabo
136,00976,PR,72139,Trujillo Alto
137,00979,PR,72031,Carolina
138,00982,PR,72031,Carolina
139,00983,PR,72031,Carolina
140,00985,PR,72031,Carolina
141,00987,PR,72031,Carolina
142,01001,MA,25013,Hampden
143,01002,MA,25015,Hampshire
144,01003,MA,25015,Hampshire
145,01005,MA,25027,Worcester
146,01007,MA,25015,Hampshire
147,01008,MA,25013,Hampden
148,01009,MA,25013,Hampden
149,01010,MA,25013,Hampden
150,01011,MA,25013,Hampden
151,01012,MA,25015,Hampshire
152,01013,MA,25013,Hampden
153,01020,MA,25013,Hampden
154,01022,MA,25013,Hampden
155,01026,MA,25015,Hampshire
156,01027,MA,25015,Hampshire
157,01028,MA,25013,Hampden
158,01029,MA,25003,Berkshire
159,01030,MA,25013,Hampden
160,01031,MA,25027,Worcester
161,01032,MA,25015,Hampshire
162,01033,MA,25015,Hampshire
163,01034,MA,25013,Hampden
164,01035,MA,25015,Hampshire
165,01036,MA,25013,Hampden
166,01037,MA,25027,Worcester
167,01038,MA,25015,Hampshire
168,01039,MA,25015,Hampshire
169,01040,MA,25013,Hampden
170,01050,MA,25015,Hampshire
171,01053,MA,25015,Hampshire
172,01054,MA,25011,Franklin
173,01056,MA,25013,Hampden
174,01057,MA,25013,Hampden
175,01060,MA,25015,Hampshire
176,01062,MA,25015,Hampshire
177,01063,MA,25015,Hampshire
178,01066,MA,25015,Hampshire
179,01068,MA,25027,Worcester
180,01069,MA,25013,Hampden
181,01070,MA,25015,Hampshire
182,01071,MA,25013,Hampden
183,01072,MA,25011,Franklin
184,01073,MA,25015,Hampshire
185,01074,MA,25027,Worcester
186,01075,MA,25015,Hampshire
187,01077,MA,25013,Hampden
188,01079,MA,25013,Hampden
189,01080,MA,25013,Hampden
190,01081,MA,25013,Hampden
191,01082,MA,25015,Hampshire
192,01083,MA,25027,Worcester
193,01084,MA,25015,Hampshire
194,01085,MA,25013,Hampden
195,01086,MA,25013,Hampden
196,01088,MA,25015,Hampshire
197,01089,MA,25013,Hampden
198,01092,MA,25027,Worcester
199,01093,MA,25011,Franklin
200,01094,MA,25027,Worcester
201,01095,MA,25013,Hampden
202,01096,MA,25015,Hampshire
203,01097,MA,25013,Hampden
204,01098,MA,25015,Hampshire
205,01103,MA,25013,Hampden
206,01104,MA,25013,Hampden
207,01105,MA,25013,Hampden
208,01106,MA,25013,Hampden
209,01107,MA,25013,Hampden
210,01108,MA,25013,Hampden
211,01109,MA,25013,Hampden
212,01118,MA,25013,Hampden
213,01119,MA,25013,Hampden
214,01128,MA,25013,Hampden
215,01129,MA,25013,Hampden
216,01151,MA,25013,Hampden
218,01201,MA,25003,Berkshire
219,01220,MA,25003,Berkshire
220,01222,MA,25003,Berkshire
221,01223,MA,25003,Berkshire
222,01224,MA,25003,Berkshire
223,01225,MA,25003,Berkshire
224,01226,MA,25003,Berkshire
225,01229,MA,25003,Berkshire
226,01230,MA,25003,Berkshire
227,01235,MA,25003,Berkshire
228,01236,MA,25003,Berkshire
229,01237,MA,25003,Berkshire
230,01238,MA,25003,Berkshire
231,01240,MA,25003,Berkshire
232,01242,MA,25003,Berkshire
233,01243,MA,25015,Hampshire
234,01244,MA,25003,Berkshire
235,01245,MA,25003,Berkshire
